rank,title,genre,platforms,release_date,developer,publisher,description
112,Half-Life,Shooter,"['PC', 'PlayStation 2', 'OS X', 'Linux']",1998-11-19,Valve,Sierra Studios,"Half-Life is a first-person shooter in which players control Gordon Freeman, a scientist trapped in the Black Mesa Research Facility after a catastrophic experiment opens a dimensional rift. Blending action, exploration, puzzle-solving, and scripted storytelling, the game is known for its immersive, uninterrupted narrative and realistic atmosphere. Players fight hostile aliens, soldiers, and other threats using a varied arsenal while uncovering the facility’s collapse and trying to escape the disaster."
113,Final Fantasy X,RPG,"['PlayStation 2', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'PC', 'Nintendo Switch', 'Xbox One', 'Xbox Series X/S']",2001-07-19,Square,Square,"Final Fantasy X is a role-playing game set in the fantasy world of Spira, where the young summoner Yuna travels with her guardians, including the outsider Tidus, on a pilgrimage to defeat the monstrous force known as Sin. The game is known for its emotional story, fully voiced dialogue, and turn-based battle system that replaced the series’ traditional Active Time Battle mechanics with the Conditional Turn-Based Battle system. It also introduced the Sphere Grid character progression system, allowing flexible customization of abilities and stats. Final Fantasy X was a major technical showcase for the PlayStation 2 and became one of the best-selling and most acclaimed entries in the Final Fantasy series."
114,Max Payne,Shooter,"['PC', 'PlayStation 2', 'Xbox', 'Game Boy Advance', 'iOS', 'Android']",2001-07-23,Remedy Entertainment,Gathering of Developers,"Max Payne is a third-person action shooter developed by Remedy Entertainment. The game follows former NYPD detective Max Payne, who becomes a fugitive after his family is murdered and he is framed for the crime. Driven by revenge, Max battles through a gritty, noir-inspired underworld of drug dealers, mobsters, and corrupt conspirators in New York City. The game is best known for its cinematic storytelling, graphic novel-style cutscenes, and its signature Bullet Time mechanic, which lets players slow down time during firefights for dramatic dodging and aiming. Its atmospheric visuals, hardboiled narration, and intense gunplay made it a landmark title in the action genre and helped define modern third-person shooters."
115,Ace Combat 5: The Unsung War,Shooter,['PlayStation 2'],2004-10-21,Namco,Namco,"Ace Combat 5: The Unsung War is an arcade-style combat flight shooter set in the fictional Strangereal universe. Players take command of the Wardog Squadron as they battle enemy aircraft, ground targets, and large-scale military threats across a globe-spanning conflict. The story follows a squadron of fighter pilots drawn into a mysterious war, blending intense aerial dogfights with cinematic mission structure and squad commands. Known for its polished controls, varied mission design, and dramatic presentation, the game expands on the series’ trademark mix of accessible flight action and military drama."
116,Yoshi's Island: Super Mario Advance 3,Adventure,['Game Boy Advance'],2002-09-20,Nintendo,Nintendo,"Yoshi's Island: Super Mario Advance 3 is a Game Boy Advance remake of Super Mario World 2: Yoshi's Island, originally released for the Super Nintendo Entertainment System. Players control Yoshi and a group of other Yoshis as they escort Baby Mario across a colorful series of platforming stages. Yoshi can flutter jump, throw eggs, swallow enemies, and transform through various stage-specific gimmicks to solve puzzles and defeat bosses. The remake adds enhanced colors, updated sound, and extra features such as a version of the classic Mario Bros. arcade game. It preserves the original’s distinctive hand-drawn art style, inventive level design, and collectathon elements, making it one of the most celebrated platformers on the system."
117,Star Wars: Knights of the Old Republic,RPG,"['PC', 'Xbox', 'Nintendo Switch', 'iOS', 'Android']",2003-07-15,BioWare,LucasArts,"Star Wars: Knights of the Old Republic is a critically acclaimed role-playing game set thousands of years before the films in the Star Wars universe. Players create and customize a Jedi-in-training who can choose between the light and dark sides of the Force while exploring diverse planets, forming a party of companions, and making story-driven decisions that affect the galaxy. The game features turn-based combat with real-time elements, a memorable narrative twist, and deep character progression. Originally released for Xbox and PC, it has since been brought to modern platforms, helping establish it as one of the most influential RPGs of its era."
118,The Curse of Monkey Island,Adventure,"['PC', 'Mac']",1997-11-11,LucasArts,LucasArts,"The Curse of Monkey Island is a classic point-and-click adventure game and the third entry in the Monkey Island series. Players follow the continuing misadventures of pirate Guybrush Threepwood, who accidentally causes a curse by giving his beloved Elaine a cursed engagement ring. The game is known for its hand-drawn cartoon art style, voice acting, witty dialogue, and puzzle-driven gameplay. Set across colorful Caribbean islands, it blends humor, exploration, and item-based puzzle solving as Guybrush tries to break the curse, outwit the undead pirate LeChuck, and win back Elaine’s love. It is widely regarded as one of LucasArts’ most polished adventures."
119,The Neverhood,Adventure,"['PC', 'PlayStation']",1996-10-31,"The Neverhood, Inc.",DreamWorks Interactive,"The Neverhood is a point-and-click adventure game built entirely from stop-motion clay animation. Players control Klaymen, an amnesiac clay figure exploring a surreal, handcrafted world called the Neverhood to uncover its secrets. The game is known for its quirky humor, imaginative environments, memorable music, and puzzle-driven gameplay. It became a cult classic for its distinctive art style and offbeat atmosphere."
120,Gothic II,RPG,['PC'],2002-11-29,Piranha Bytes,JoWooD Productions,"Gothic II is a third-person action RPG set in a harsh medieval fantasy world. Players return to the island kingdom of Khorinis after the events of the original Gothic and take on the role of the Nameless Hero, who must rebuild his strength, gather allies, and uncover a new threat tied to an ancient evil. The game is known for its challenging combat, open-ended quest design, and immersive world where NPCs follow daily routines and player choices affect progression. Its expansion, Night of the Raven, adds a new region, factions, and additional story content."
121,Astro's Playroom,Adventure,['PlayStation 5'],2020-11-12,Team Asobi,Sony Interactive Entertainment,"Astro's Playroom is a 3D platformer included with every PlayStation 5 console, designed as both a fun adventure and a showcase for the console's features. Players control Astro, a small robot exploring vibrant themed worlds inspired by different parts of the PS5 hardware and PlayStation history. The game makes extensive use of the DualSense controller, including adaptive triggers, haptic feedback, and the built-in microphone, turning movement and interactions into a tactile experience. Along the way, players collect artifacts and puzzle pieces that celebrate decades of PlayStation consoles, accessories, and iconic characters. It combines accessible platforming, playful presentation, and technical demonstration into a charming tribute to Sony's gaming legacy."
